         2863;01/03/2024;    26.89
         2863;23/03/2024;    27.47
         2990;01/03/2024;    59.87
         2990;23/03/2024;    47.89
         3258;23/03/2024;    12.87
         3906;01/03/2024;    17.49
         4386;01/03/2024;    19.45
         4402;01/03/2024;    27.94
         4461;01/03/2024;    10.45
4005808631322;01/03/2024;    14.99
4005900294722;01/03/2024;     5.29
5601252118519;01/03/2024;    31.99
7509546663012;01/03/2024;    19.90
7891000126905;01/03/2024;     4.99
7891021001885;01/03/2024;     5.29
7891022855029;01/03/2024;     3.05
7891031412176;01/03/2024;     6.99
7891035051265;01/03/2024;    15.90
7891040222476;01/03/2024;     8.99
7891150042131;01/03/2024;    18.90
7891268400113;01/03/2024;    18.90
7891515486846;01/03/2024;    21.99
7891991001373;01/03/2024;     7.99
7891991001373;23/03/2024;     8.49
7893000005945;01/03/2024;    22.90
7893000005976;01/03/2024;    17.90
7893000025653;23/03/2024;     3.99
7893000079298;01/03/2024;    13.99
7894000010021;01/03/2024;    17.19
7894904009862;01/03/2024;    15.99
7894904204557;01/03/2024;     7.99
7896000554369;01/03/2024;     5.49
7896002360234;23/03/2024;     6.98
7896002363792;01/03/2024;     9.98
7896003738520;01/03/2024;     6.99
7896003738636;01/03/2024;     6.69
7896005286593;01/03/2024;     3.99
7896007811403;01/03/2024;     3.99
7896021628018;01/03/2024;    12.99
7896026850070;01/03/2024;     2.39
7896030519628;01/03/2024;     7.39
7896034680133;01/03/2024;    12.90
7896061920202;01/03/2024;     7.99
7896098900840;01/03/2024;    11.59
7896102500493;01/03/2024;     3.49
7896102500608;01/03/2024;     3.49
7896110100043;01/03/2024;     2.89
7896117600027;01/03/2024;     9.98
7896228100171;23/03/2024;    11.99
7896353302068;01/03/2024;    16.79
7896527702670;01/03/2024;     9.90
7896894900013;01/03/2024;     3.89
7896901200457;01/03/2024;     6.99
7897517209674;01/03/2024;     5.99
7898012786301;01/03/2024;    23.99
7898043740044;23/03/2024;     7.99
7898215151708;01/03/2024;     2.89
7898226513564;01/03/2024;    36.99
7898594420129;01/03/2024;    12.99
7898647930100;01/03/2024;     5.89
7898930142654;01/03/2024;     2.49
7898930672472;01/03/2024;    10.99
7898943163066;01/03/2024;     7.59
7898962794180;01/03/2024;    29.90
